"unique","age","lactation","disease","presence"
"K100-P284",6.7,"6","mf",0
"K100-P284",6.7,"6","da",0
"K100-P295",6.9,"6","mf",0
"K100-P295",6.9,"6","da",0
"K100-P357",5.9,"4","mf",0
"K100-P357",5.9,"4","da",0
"K100-P362",6.6,"5","mf",0
"K100-P362",6.6,"5","da",0
"K100-P406",5.4,"4","mf",0
"K100-P406",5.4,"4","da",0
"K100-P416",4.4,"3","mf",0
"K100-P416",4.4,"3","da",0
"K100-P436",4.6,"3","mf",0
"K100-P436",4.6,"3","da",0
"K100-P445",4.2,"3","mf",0
"K100-P445",4.2,"3","da",0
"K100-P455",4.6,"3","mf",0
"K100-P455",4.6,"3","da",0
"K100-P458",4.7,"3","mf",0
"K100-P458",4.7,"3","da",0
"K100-P460",4.5,"3","mf",0
"K100-P460",4.5,"3","da",0
"K100-P462",4.7,"3","mf",0
"K100-P462",4.7,"3","da",0
"K100-P501",4.1,"3","mf",0
"K100-P501",4.1,"3","da",0
"K100-P504",2.7,"2","mf",0
"K100-P504",2.7,"2","da",0
"K100-P517",3.1,"2","mf",0
"K100-P517",3.1,"2","da",0
"K100-P525",3.5,"2","mf",0
"K100-P525",3.5,"2","da",0
"K100-P535",4.9,"2","mf",0
"K100-P535",4.9,"2","da",0
"K100-P548",2.9,"2","mf",0
"K100-P548",2.9,"2","da",0
"K100-P554",6.4,"5","mf",0
"K100-P554",6.4,"5","da",0
"K100-P563",1.9,"1","mf",0
"K100-P563",1.9,"1","da",0
"K100-P578",2.1,"1","mf",0
"K100-P578",2.1,"1","da",0
"K100-P580",2,"1","mf",0
"K100-P580",2,"1","da",0
"K100-P597",2.1,"1","mf",0
"K100-P597",2.1,"1","da",0
"K100-P640",2.9,"1","mf",0
"K100-P640",2.9,"1","da",0
"K101-P204",6.4,"5","mf",0
"K101-P204",6.4,"5","da",0
"K101-P235",4.9,"3","mf",0
"K101-P235",4.9,"3","da",0
"K101-P260",3.8,"2","mf",0
"K101-P260",3.8,"2","da",0
"K101-P337",2.1,"1","mf",0
"K101-P337",2.1,"1","da",0
"K101-P339",2.2,"1","mf",0
"K101-P339",2.2,"1","da",0
"K101-P340",2.1,"1","mf",0
"K101-P340",2.1,"1","da",0
"K101-P377",2,"1","mf",0
"K101-P377",2,"1","da",0
"K101-P391",2.2,"1","mf",0
"K101-P391",2.2,"1","da",0
"K102-P191",7.2,"5","mf",0
"K102-P191",7.2,"5","da",0
"K102-P212",6.9,"6","mf",0
"K102-P212",6.9,"6","da",0
"K102-P262",4.2,"3","mf",0
"K102-P262",4.2,"3","da",0
"K102-P280",2.1,"1","mf",0
"K102-P280",2.1,"1","da",0
"K102-P287",2.8,"2","mf",0
"K102-P287",2.8,"2","da",0
"K102-P291",3.3,"2","mf",0
"K102-P291",3.3,"2","da",0
"K102-P311",2,"1","mf",0
"K102-P311",2,"1","da",0
"K103-P193",5.2,"3","mf",0
"K103-P193",5.2,"3","da",0
"K103-P214",5.8,"4","mf",0
"K103-P214",5.8,"4","da",0
"K103-P221",4.7,"3","mf",0
"K103-P221",4.7,"3","da",0
"K103-P273",2.1,"1","mf",0
"K103-P273",2.1,"1","da",0
"K103-P278",2.1,"1","mf",0
"K103-P278",2.1,"1","da",0
"K103-P295",2,"1","mf",0
"K103-P295",2,"1","da",0
"K104-P260",6.4,"5","mf",0
"K104-P260",6.4,"5","da",1
"K104-P264",5.4,"4","mf",0
"K104-P264",5.4,"4","da",0
"K104-P327",4.1,"3","mf",0
"K104-P327",4.1,"3","da",0
"K104-P330",5.8,"4","mf",1
"K104-P330",5.8,"4","da",0
"K104-P333",4.3,"3","mf",0
"K104-P333",4.3,"3","da",0
"K104-P354",3.9,"3","mf",0
"K104-P354",3.9,"3","da",0
"K104-P360",2.9,"2","mf",0
"K104-P360",2.9,"2","da",0
"K104-P367",3.2,"2","mf",0
"K104-P367",3.2,"2","da",0
"K104-P373",4.4,"2","mf",0
"K104-P373",4.4,"2","da",0
"K104-P377",3.2,"2","mf",0
"K104-P377",3.2,"2","da",0
"K104-P385",4.1,"3","mf",0
"K104-P385",4.1,"3","da",0
"K104-P397",3.2,"2","mf",0
"K104-P397",3.2,"2","da",0
"K104-P400",3.4,"2","mf",0
"K104-P400",3.4,"2","da",0
"K104-P415",2.1,"1","mf",0
"K104-P415",2.1,"1","da",0
"K104-P416",2.4,"1","mf",0
"K104-P416",2.4,"1","da",0
"K104-P418",2.1,"1","mf",0
"K104-P418",2.1,"1","da",0
"K104-P427",2.1,"1","mf",0
"K104-P427",2.1,"1","da",0
"K104-P433",2.4,"1","mf",0
"K104-P433",2.4,"1","da",0
"K104-P442",2.4,"1","mf",0
"K104-P442",2.4,"1","da",0
"K105-P111",5.5,"4","mf",0
"K105-P111",5.5,"4","da",0
